id,first_name,last_name,years_experience,headshot_url,age,height,weight,injury_status,rotowire_id
4430878,Jaxon,Smith-Njigba,2,https://a.espncdn.com/i/headshots/nfl/players/full/4430878.png,22.0,72.0,197.0,,
4567048,Kenneth,Walker,3,https://a.espncdn.com/i/headshots/nfl/players/full/4567048.png,23.0,69.0,211.0,,
4362887,Justin,Fields,4,https://a.espncdn.com/i/headshots/nfl/players/full/4362887.png,25.0,75.0,227.0,,
4426386,Roschon,Johnson,2,https://a.espncdn.com/i/headshots/nfl/players/full/4426386.png,23.0,72.0,225.0,,
4039160,Kylen,Granson,4,https://a.espncdn.com/i/headshots/nfl/players/full/4039160.png,26.0,75.0,242.0,,
4596448,Bucky,Irving,0,https://a.espncdn.com/i/headshots/college-football/players/full/4596448.png,21.0,70.0,195.0,,
4692590,Jalin,Hyatt,2,https://a.espncdn.com/i/headshots/nfl/players/full/4692590.png,22.0,72.0,185.0,,
3049916,Matt,Breida,7,https://a.espncdn.com/i/headshots/nfl/players/full/3049916.png,29.0,70.0,190.0,,
3924365,Hayden,Hurst,7,https://a.espncdn.com/i/headshots/nfl/players/full/3924365.png,30.0,76.0,245.0,,
3118892,Justin,Watson,7,https://a.espncdn.com/i/headshots/nfl/players/full/3118892.png,28.0,74.0,215.0,,
3059989,Nick,Mullens,6,https://a.espncdn.com/i/headshots/nfl/players/full/3059989.png,29.0,72.0,210.0,,
4408854,Jody,Fortson,4,https://a.espncdn.com/i/headshots/nfl/players/full/4408854.png,28.0,76.0,226.0,,
4575665,Jacob,Cowing,0,https://a.espncdn.com/i/headshots/college-football/players/full/4575665.png,23.0,69.0,171.0,,
4360516,Tyrone,Tracy,0,https://a.espncdn.com/i/headshots/college-football/players/full/4360516.png,24.0,71.0,210.0,,
3931391,Trenton,Irwin,5,https://a.espncdn.com/i/headshots/nfl/players/full/3931391.png,28.0,74.0,200.0,,
4429160,De'Von,Achane,2,https://a.espncdn.com/i/headshots/nfl/players/full/4429160.png,22.0,69.0,188.0,,
4362504,Brevin,Jordan,4,https://a.espncdn.com/i/headshots/nfl/players/full/4362504.png,23.0,75.0,245.0,,
4569618,Garrett,Wilson,3,https://a.espncdn.com/i/headshots/nfl/players/full/4569618.png,23.0,72.0,183.0,,
4875912,Tejhaun,Palmer,0,https://a.espncdn.com/i/headshots/college-football/players/full/4875912.png,24.0,74.0,210.0,,
2991662,Mack,Hollins,8,https://a.espncdn.com/i/headshots/nfl/players/full/2991662.png,30.0,76.0,221.0,,
4047646,A.J.,Brown,6,https://a.espncdn.com/i/headshots/nfl/players/full/4047646.png,26.0,73.0,226.0,,
4599739,Kendre,Miller,2,https://a.espncdn.com/i/headshots/nfl/players/full/4599739.png,22.0,72.0,205.0,,
4362238,Chase,Brown,2,https://a.espncdn.com/i/headshots/nfl/players/full/4362238.png,24.0,70.0,211.0,,
4428331,Rashee,Rice,2,https://a.espncdn.com/i/headshots/nfl/players/full/4428331.png,24.0,73.0,204.0,,
4683062,Xavier,Worthy,0,https://a.espncdn.com/i/headshots/college-football/players/full/4683062.png,21.0,71.0,165.0,,
4243003,Ronnie,Rivers,3,https://a.espncdn.com/i/headshots/nfl/players/full/4243003.png,25.0,69.0,192.0,,
4038941,Justin,Herbert,5,https://a.espncdn.com/i/headshots/nfl/players/full/4038941.png,26.0,78.0,236.0,,
4612826,Ladd,McConkey,0,https://a.espncdn.com/i/headshots/college-football/players/full/4612826.png,22.0,72.0,185.0,,
